#Selection name: Partially_Includes_Tumor_Cells
#Area (µm^2): 4641531.53
Cell ID,Cluster,Transcripts,Area (µm^2)
bmjjnnch-1,Cluster 2,0,106.87
bmjmohda-1,Cluster 2,0,68.28
bmjlbfco-1,Cluster 2,0,90.07
bmcelngn-1,Cluster 2,0,58.10
bmdbhohb-1,Cluster 2,0,66.16
bmdebcch-1,Cluster 2,0,85.73
bmbplneb-1,Cluster 2,0,53.04
bmdbmoca-1,Cluster 1,0,33.94
bmcadilf-1,Cluster 2,0,68.94
bmhddmio-1,Cluster 2,0,69.56
bmhdghkl-1,Cluster 2,0,81.06
ncomleon-1,Cluster 2,0,72.36
bmhagjca-1,Cluster 1,0,29.13
bmidjjel-1,Cluster 1,0,45.78
bmhakcbm-1,Cluster 2,0,84.40
bmhlmnbb-1,Cluster 2,0,62.87
bmigcifl-1,Cluster 2,0,60.83
bmidninj-1,Cluster 2,0,60.17
bmhlfeob-1,Cluster 2,0,31.44
bmhkokcg-1,Cluster 2,0,15.04
bmihlacd-1,Cluster 2,0,38.70
bmiibakf-1,Cluster 2,0,64.73
bmkpbgke-1,Cluster 2,0,46.00
nbopbaoo-1,Cluster 1,0,45.53
nbpkfcpf-1,Cluster 6,0,23.31
nbopkonb-1,Cluster 1,0,38.34
nbplaell-1,Cluster 3,0,46.67
bmjkljgo-1,Cluster 2,0,92.93
bmjhiddi-1,Cluster 1,0,38.87
bmjnodfg-1,Cluster 1,0,51.10
bmjnnkkp-1,Cluster 2,0,120.40
bmjmpcao-1,Cluster 2,0,93.46
bmjgkeea-1,Cluster 2,0,54.53
bmjfnfdd-1,Cluster 2,0,77.57
bmdfloei-1,Cluster 2,0,89.02
bmdgchgb-1,Cluster 2,0,95.07
bmhfjmee-1,Cluster 1,0,45.16
bmiiplle-1,Cluster 2,0,89.70
bmimfpph-1,Cluster 2,0,54.46
bmijklmi-1,Cluster 2,0,120.70
bmhejffj-1,Cluster 1,0,33.90
bmhfbbcf-1,Cluster 2,0,95.72
bmijkjai-1,Cluster 7,0,50.88
bmhkbkpc-1,Cluster 2,0,64.84
bmijdjed-1,Cluster 2,0,92.88
bmiinacn-1,Cluster 1,0,51.41
bmkmhplk-1,Cluster 2,0,44.69
bmknkjfe-1,Cluster 2,0,156.53
caoflhnh-1,Cluster 2,0,14.41
cankpfpe-1,Cluster 2,0,74.88
cannadhk-1,Cluster 2,0,165.31
caoemlcf-1,Cluster 2,0,62.71
nconejne-1,Cluster 2,0,50.54
caoejkli-1,Cluster 2,0,131.20
caobkeln-1,Cluster 2,0,79.07
caodgbka-1,Cluster 1,0,27.57
canlaakk-1,Cluster 2,0,67.81
bmhdkhel-1,Cluster 2,0,56.46
caocankk-1,Cluster 2,0,66.97
caoemjdj-1,Cluster 2,0,30.63
caocncca-1,Cluster 2,0,110.83
nconembe-1,Cluster 3,0,50.50
caodmdno-1,Cluster 1,0,108.37
cannefoe-1,Cluster 2,0,37.48
canloogj-1,Cluster 2,0,85.83
canmpdlf-1,Cluster 2,0,96.96
canmcdhh-1,Cluster 1,0,49.40
canmkblf-1,Cluster 2,0,104.64
canmjmmm-1,Cluster 2,0,95.39
calcpeci-1,Cluster 2,0,40.77
caogpfoj-1,Cluster 2,0,56.49
cannlmhm-1,Cluster 2,0,101.42
canpbmla-1,Cluster 1,0,74.85
canlihef-1,Cluster 1,0,47.91
canlgphe-1,Cluster 1,0,18.54
cannbfgl-1,Cluster 2,0,28.38
caofijfg-1,Cluster 2,0,46.97
canpeghi-1,Cluster 2,0,76.21
caobghmg-1,Cluster 2,0,53.97
caocfehd-1,Cluster 2,0,140.06
capfackf-1,Cluster 2,0,65.73
capegbpb-1,Cluster 2,0,122.27
ncokbneb-1,Cluster 1,0,27.93
capdodho-1,Cluster 1,0,58.06
caoanfbi-1,Cluster 1,0,57.83
capdolaf-1,Cluster 1,0,32.68
bmhgidpl-1,Cluster 1,0,148.68
canpokbd-1,Cluster 1,0,39.43
bmheafae-1,Cluster 2,0,67.41
nconkkdm-1,Cluster 1,0,13.85
caokeiap-1,Cluster 2,0,41.09
caomhoek-1,Cluster 2,0,25.93
caolebjj-1,Cluster 2,0,26.31
caollell-1,Cluster 1,0,34.83
capjgjna-1,Cluster 2,0,47.21
canncldc-1,Cluster 1,0,29.51
capkohei-1,Cluster 1,0,28.07
capjehik-1,Cluster 2,0,59.42
nehjebkf-1,Cluster 1,0,24.21
capkomhf-1,Cluster 2,0,23.15
caplgnkj-1,Cluster 2,0,21.96
capciije-1,Cluster 2,0,66.40
bogikgbn-1,Cluster 2,0,80.36
bocclkml-1,Cluster 1,0,39.84
nbanpbhd-1,Cluster 1,0,14.75
naihaicp-1,Cluster 5,0,28.12
naihboba-1,Cluster 5,0,43.94
naiemhnl-1,Cluster 1,0,23.85
nbanglkc-1,Cluster 5,0,44.65
naifbfbo-1,Cluster 5,0,69.57
nbapbonc-1,Cluster 1,0,39.40
nbapfhki-1,Cluster 3,0,90.98
boefkdca-1,Cluster 2,0,125.93
nbbccbkb-1,Cluster 1,0,18.26
bodbdaie-1,Cluster 2,0,101.63
bodaneca-1,Cluster 2,0,204.52
bocoblbn-1,Cluster 2,0,67.95
bodbgooj-1,Cluster 1,0,27.47
bocofpfa-1,Cluster 1,0,20.07
nbagdbbi-1,Cluster 2,0,38.51
bodcfegj-1,Cluster 2,0,42.08
bocopjkj-1,Cluster 2,0,57.34
bocpckii-1,Cluster 1,0,79.73
bodahjkl-1,Cluster 2,0,75.56
bocflmka-1,Cluster 2,0,66.59
namfemcm-1,Cluster 1,0,30.67
bofcpncb-1,Cluster 2,0,236.92
bofalllm-1,Cluster 1,0,36.44
bofbginh-1,Cluster 2,0,33.08
bofbonpd-1,Cluster 2,0,154.60
bofhpnmo-1,Cluster 2,0,99.63
bofcenek-1,Cluster 2,0,94.25
bodmjlcp-1,Cluster 2,0,14.85
bodmfdca-1,Cluster 1,0,54.94
bodlhhln-1,Cluster 2,0,170.38
bodkebkp-1,Cluster 2,0,228.24
bodlggoj-1,Cluster 2,0,91.91
bodndeai-1,Cluster 1,0,62.94
bodegeda-1,Cluster 2,0,74.55
bodegajj-1,Cluster 2,0,125.19
bodeeabm-1,Cluster 2,0,58.54
boeiaoal-1,Cluster 2,0,106.75
boejfeee-1,Cluster 2,0,44.93
boeiobcf-1,Cluster 2,0,26.37
nbaoeihl-1,Cluster 2,0,88.48
bodcampa-1,Cluster 2,0,150.98
bodalngi-1,Cluster 2,0,50.62
bodaleii-1,Cluster 2,0,122.62
bodpnpca-1,Cluster 2,0,57.70
boefaioi-1,Cluster 2,0,70.02
boddibli-1,Cluster 2,0,165.77
boefnkad-1,Cluster 2,0,70.54
bocdkmga-1,Cluster 2,0,125.34
bogjdjch-1,Cluster 2,0,53.52
bogahocm-1,Cluster 1,0,46.67
bogbiagp-1,Cluster 1,0,40.21
bogbejap-1,Cluster 1,0,40.78
bogjfooc-1,Cluster 2,0,25.41
bogbcjmm-1,Cluster 2,0,96.24
bofpimgk-1,Cluster 1,0,28.56
bocdibfc-1,Cluster 2,0,40.83
boceoldf-1,Cluster 2,0,69.79
bocdmkdm-1,Cluster 2,0,55.81
boccmpbf-1,Cluster 2,0,60.02
nbalpnio-1,Cluster 7,0,45.92
najebedo-1,Cluster 3,0,28.89
nbanadoc-1,Cluster 7,0,19.77
najcgfnc-1,Cluster 1,0,38.49
ohpdjlfp-1,Cluster 1,0,30.86
bocokebi-1,Cluster 2,0,233.83
najdkhmf-1,Cluster 7,0,16.05
nbanboej-1,Cluster 3,0,124.29
najbhnde-1,Cluster 3,0,47.36
nabikhpd-1,Cluster 5,0,79.21
najldjhc-1,Cluster 6,0,55.05
najhpndc-1,Cluster 6,0,26.74
nabijgom-1,Cluster 5,0,146.26
najfeege-1,Cluster 6,0,33.00
nbbgjcpa-1,Cluster 3,0,65.61
nbanefgf-1,Cluster 7,0,18.33
najeepno-1,Cluster 6,0,107.73
nbbgiajg-1,Cluster 3,0,63.24
nbbfmlde-1,Cluster 3,0,50.31
najhbhgi-1,Cluster 6,0,36.67
bodnofca-1,Cluster 2,0,39.74
bocdbamg-1,Cluster 2,0,104.30
namcjbbh-1,Cluster 6,0,21.03
namdckck-1,Cluster 6,0,10.30
boecmbhc-1,Cluster 1,0,37.27
namcikfm-1,Cluster 6,0,15.97
bodpnfjd-1,Cluster 2,0,154.23
bocbgnhj-1,Cluster 2,0,74.35
nalojeib-1,Cluster 2,0,19.16
namcmbce-1,Cluster 1,0,10.47
boeddokh-1,Cluster 2,0,41.65
boedhgok-1,Cluster 2,0,117.34
boeacnch-1,Cluster 2,0,165.93
boccamlk-1,Cluster 2,0,88.41
boeaclno-1,Cluster 2,0,145.84
bogdbegn-1,Cluster 1,0,19.33
namgpknh-1,Cluster 6,0,38.50
namfcdnd-1,Cluster 1,0,14.09
bogfjnpg-1,Cluster 2,0,79.01
naligknp-1,Cluster 6,0,22.97
bogcopgj-1,Cluster 2,0,64.76
bogcfedk-1,Cluster 2,0,71.44
bognfilh-1,Cluster 2,0,45.47
bogbmdoi-1,Cluster 1,0,84.38
bogcblde-1,Cluster 2,0,111.57
bocddpcm-1,Cluster 2,0,69.54
boccbake-1,Cluster 1,0,35.15
boccgmdm-1,Cluster 2,0,86.64
nampcgbn-1,Cluster 1,0,26.01
nanaajea-1,Cluster 1,0,20.82
nanbmdkl-1,Cluster 3,0,71.07
boekeaib-1,Cluster 2,0,56.94
bocbefij-1,Cluster 2,0,57.56
bodndjmi-1,Cluster 2,0,234.13
boeengfm-1,Cluster 1,0,48.89
bodojiii-1,Cluster 2,0,94.38
boejmhnj-1,Cluster 2,0,28.14
bodngenp-1,Cluster 1,0,45.28
boekcnmm-1,Cluster 2,0,73.18
boeajojp-1,Cluster 2,0,96.51
boebcdlf-1,Cluster 2,0,129.47
boeccfje-1,Cluster 2,0,78.48
bogjnocp-1,Cluster 2,0,45.58
bogngoam-1,Cluster 2,0,59.31
bofmonco-1,Cluster 2,0,54.31
bogkcjlc-1,Cluster 2,0,44.97
bofnplaj-1,Cluster 2,0,71.98
bocffepj-1,Cluster 2,0,40.43
nalicnjn-1,Cluster 1,0,12.86
nalgnmfj-1,Cluster 1,0,17.36
naldghjc-1,Cluster 1,0,19.49
bofpcgpg-1,Cluster 2,0,165.90
nalenmhj-1,Cluster 3,0,47.25
nalhnajl-1,Cluster 7,0,62.47
capnplie-1,Cluster 2,0,54.71
bmiocfbe-1,Cluster 2,0,72.28
bmkdcgom-1,Cluster 2,0,199.13
bmcgdamm-1,Cluster 2,0,109.62
bmanomap-1,Cluster 2,0,108.61
bmanmhol-1,Cluster 1,0,46.38
bmbabnik-1,Cluster 2,0,48.63
bmannghn-1,Cluster 2,0,45.19
bmahbgle-1,Cluster 2,0,13.88
bmaiopbc-1,Cluster 2,0,85.37
bmamobmp-1,Cluster 2,0,75.46
bmagefdb-1,Cluster 2,0,89.40
bmaemhfi-1,Cluster 2,0,49.73
bmammnci-1,Cluster 2,0,110.21
bmafcpfg-1,Cluster 2,0,31.82
nboicifj-1,Cluster 1,0,20.67
ohpofeel-1,Cluster 1,0,29.90
bmdeiaab-1,Cluster 2,0,160.66
bmklanfo-1,Cluster 2,0,95.59
bmkkmobm-1,Cluster 2,0,18.37
bmcmfdaa-1,Cluster 1,0,21.10
bmdfngho-1,Cluster 1,0,69.52
bmkpcbej-1,Cluster 2,0,46.54
bmkijkfl-1,Cluster 2,0,103.07
nbpmolkn-1,Cluster 3,0,155.26
bmkcncfb-1,Cluster 2,0,37.58
bmkpmhhd-1,Cluster 2,0,48.99
bmkjfmkl-1,Cluster 2,0,120.34
bmcmnion-1,Cluster 2,0,30.05
bmcfemlo-1,Cluster 2,0,168.49
ncbjadpc-1,Cluster 5,0,86.64
bmbabobf-1,Cluster 2,0,52.30
bmaeghah-1,Cluster 2,0,40.95
ncbiobec-1,Cluster 6,0,74.48
nboiomab-1,Cluster 1,0,12.38
blphieio-1,Cluster 1,0,47.62
bmbahocc-1,Cluster 1,0,125.67
bmakopjm-1,Cluster 2,0,33.52
bmaeibmi-1,Cluster 1,0,48.86
bmbbmdmn-1,Cluster 2,0,70.49
bmbadpgh-1,Cluster 2,0,82.93
bogikapm-1,Cluster 2,0,95.26
bmbahgai-1,Cluster 2,0,102.47
namdkpan-1,Cluster 6,0,17.43
bmladkha-1,Cluster 2,0,31.53
ncoimpkk-1,Cluster 1,0,20.95
nbpmgojd-1,Cluster 3,0,38.16
bmkdffkn-1,Cluster 2,0,96.16
nbpipbbc-1,Cluster 3,0,45.49
nbpjknog-1,Cluster 3,0,14.11
bmkffoko-1,Cluster 2,0,142.44
bmkgdalm-1,Cluster 2,0,163.33
nbpjbggh-1,Cluster 3,0,28.48
bmkhjgma-1,Cluster 2,0,116.90
bmkifnji-1,Cluster 2,0,55.65
nbpjalfj-1,Cluster 6,0,23.83
ncbilmdi-1,Cluster 6,0,30.23
capnpeml-1,Cluster 1,0,22.41
ncobjffo-1,Cluster 6,0,44.54
cappeehk-1,Cluster 2,0,25.64
cappeigj-1,Cluster 2,0,64.66
cbaamibh-1,Cluster 2,0,93.65
capgdchi-1,Cluster 2,0,89.56
bmhfknak-1,Cluster 2,0,124.38
bmhihagn-1,Cluster 2,0,55.34
bminckfk-1,Cluster 2,0,43.91
capoogmc-1,Cluster 2,0,41.53
bmioeeom-1,Cluster 2,0,59.72
bmimblme-1,Cluster 2,0,46.07
bmilbgga-1,Cluster 2,0,65.67
bmgpkgae-1,Cluster 2,0,45.19
bmhhnieg-1,Cluster 2,0,97.85
capljihf-1,Cluster 2,0,35.07
caofoidg-1,Cluster 2,0,108.18
cbahfaca-1,Cluster 2,0,64.70
capnoaia-1,Cluster 1,0,54.19
capmpdec-1,Cluster 2,0,78.52
capmldfe-1,Cluster 2,0,31.89
capddjjd-1,Cluster 1,0,38.90
ncobfmff-1,Cluster 1,0,17.46
caplikep-1,Cluster 1,0,60.88
ncochgdb-1,Cluster 1,0,33.96
capcjfgh-1,Cluster 2,0,111.72
ncobmjmi-1,Cluster 6,0,29.51
capdllld-1,Cluster 2,0,47.56
cbadogef-1,Cluster 1,0,26.77
cappfdac-1,Cluster 1,0,50.03
cbaccbdd-1,Cluster 2,0,195.89
cbaakpao-1,Cluster 1,0,46.29
cbacpomg-1,Cluster 2,0,80.14
bmhacinf-1,Cluster 2,0,167.75
bmhjomef-1,Cluster 2,0,124.86
cbabokel-1,Cluster 2,0,33.57
bmgponpn-1,Cluster 2,0,64.73
bmhjdlhj-1,Cluster 2,0,66.25
bmiidhbl-1,Cluster 1,0,30.08
bmiiceoo-1,Cluster 2,0,62.61
bmiidega-1,Cluster 2,0,123.32
ncodacbp-1,Cluster 3,0,9.46
caphleco-1,Cluster 1,0,35.84
capnigba-1,Cluster 1,0,39.98
nehmdjgj-1,Cluster 1,0,20.18
capiioia-1,Cluster 1,0,48.94
cbahcggg-1,Cluster 1,0,45.34
cbadanjc-1,Cluster 2,0,120.02
capbfahp-1,Cluster 1,0,55.59
cbackndo-1,Cluster 2,0,50.98
capibgfd-1,Cluster 1,0,26.01
capbongh-1,Cluster 2,0,50.65
cbadclpn-1,Cluster 2,0,48.59
nehlhjfj-1,Cluster 1,0,52.50
bmncpfpk-1,Cluster 1,0,69.44
ncbkhknp-1,Cluster 5,0,175.26
ncbepgdg-1,Cluster 5,0,65.95
blphnppb-1,Cluster 2,0,123.74
blphkihp-1,Cluster 1,0,65.17
blpianej-1,Cluster 2,0,78.52
blpjfblk-1,Cluster 1,0,35.34
blphbndn-1,Cluster 2,0,95.70
