#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
injmfgfm-1,Cluster 1,0,19.09
injphgjp-1,Cluster 1,0,37.81
iobdcida-1,Cluster 1,0,43.49
fmpmekcn-1,Cluster 1,0,34.00
inkcbdel-1,Cluster 1,0,64.16
injfkoni-1,Cluster 1,0,98.88
inkadnii-1,Cluster 1,0,26.01
injlhfjl-1,Cluster 1,0,18.45
injfdbcb-1,Cluster 5,0,44.00
fmpmaapc-1,Cluster 1,0,37.29
ioeknfjg-1,Cluster 1,0,31.73
inipilin-1,Cluster 5,0,16.89
injfffdl-1,Cluster 1,0,17.72
injbhpph-1,Cluster 3,0,19.82
injbipfl-1,Cluster 5,0,18.51
injbbhlp-1,Cluster 1,0,25.32
fmpmgkkg-1,Cluster 1,0,28.24
injllina-1,Cluster 3,0,31.72
fmpmekhn-1,Cluster 1,0,48.40
iodihmpe-1,Cluster 3,0,49.52
iocogagn-1,Cluster 3,0,88.65
ipfgadnl-1,Cluster 6,0,147.07
iocmbepl-1,Cluster 1,0,17.73
ipfiaoad-1,Cluster 5,0,42.05
ipffpknb-1,Cluster 3,0,38.49
iodfgccg-1,Cluster 1,0,71.52
fmpmpemo-1,Cluster 1,0,37.21
iodfnjic-1,Cluster 3,0,47.26
ioeiilii-1,Cluster 7,0,17.60
ioekgpgh-1,Cluster 7,0,26.68
iodffdmg-1,Cluster 7,0,31.23
iocikchg-1,Cluster 3,0,66.79
iodfopal-1,Cluster 7,0,33.90
iocgnadg-1,Cluster 5,0,40.55
iodgjdka-1,Cluster 3,0,40.82
iodajfng-1,Cluster 3,0,16.17
iocikknk-1,Cluster 5,0,48.93
ioddnidi-1,Cluster 5,0,31.35
ioeoejcg-1,Cluster 5,0,49.65
iodklpga-1,Cluster 1,0,36.37
iodkicjf-1,Cluster 5,0,78.72
ogmgdpdg-1,Cluster 1,0,93.31
ioeannlm-1,Cluster 5,0,39.15
ioddbehi-1,Cluster 5,0,118.67
ioddfeel-1,Cluster 7,0,87.89
iodbimgo-1,Cluster 5,0,111.26
iodajnfl-1,Cluster 5,0,83.42
iodcgifp-1,Cluster 1,0,34.88
iocpncem-1,Cluster 7,0,87.82
ipehofnj-1,Cluster 1,0,42.52
iodhihag-1,Cluster 3,0,62.58
iodhndjo-1,Cluster 3,0,81.88
ipegjbgb-1,Cluster 1,0,31.87
ipehmabi-1,Cluster 5,0,97.41
iodcaopj-1,Cluster 1,0,24.07
iodbifpl-1,Cluster 3,0,83.68
iodfeiho-1,Cluster 7,0,39.20
iodegfmo-1,Cluster 7,0,36.87
iodicche-1,Cluster 1,0,54.71
fmpmdiff-1,Cluster 1,0,40.72
ioebldkh-1,Cluster 3,0,13.85
iodgjlol-1,Cluster 5,0,62.08
ioeboloj-1,Cluster 3,0,135.50
iocojfjg-1,Cluster 3,0,47.33
iocggfcj-1,Cluster 3,0,37.24
iocoihmn-1,Cluster 3,0,28.20
iocphgne-1,Cluster 3,0,72.87
iocpcjjj-1,Cluster 1,0,52.38
ipejpila-1,Cluster 5,0,37.45
ipejkkin-1,Cluster 7,0,95.56
ipejnmed-1,Cluster 1,0,43.48
fmpjjlne-1,Cluster 1,0,56.97
ogmhgiep-1,Cluster 5,0,116.46
iokjdflm-1,Cluster 7,0,87.30
ipekhnoj-1,Cluster 6,0,163.55
iokbkjkl-1,Cluster 6,0,61.95
iokcceaa-1,Cluster 3,0,82.36
iojgbbpd-1,Cluster 1,0,30.39
iolabaip-1,Cluster 1,0,81.81
ipekdpkm-1,Cluster 3,0,65.46
iokefjfn-1,Cluster 7,0,24.97
iolbagfd-1,Cluster 3,0,79.34
