#Selection name: Tumor_Free_Left
#Area (µm^2): 2387159.80
Cell ID,Cluster,Transcripts,Area (µm^2)
ibfjoohg-1,Cluster 7,0,25.86
ibphlaec-1,Cluster 1,0,20.26
ieipdbfm-1,Cluster 1,0,27.99
heilaecn-1,Cluster 3,0,71.33
ibpmgjao-1,Cluster 7,0,30.95
ianjmeck-1,Cluster 5,0,27.61
ibfdlbkk-1,Cluster 5,0,28.52
ibfeacjc-1,Cluster 1,0,21.59
ibokhcmj-1,Cluster 5,0,54.13
ibfcnako-1,Cluster 3,0,31.53
icaalgbo-1,Cluster 3,0,43.31
ibpnaiej-1,Cluster 3,0,42.67
heijpfeh-1,Cluster 3,0,25.36
ibplngoe-1,Cluster 7,0,23.65
hpjckjea-1,Cluster 3,0,56.03
hplgkdkp-1,Cluster 1,0,26.88
hplihhng-1,Cluster 3,0,40.77
ibdcimea-1,Cluster 5,0,45.40
ibckgleo-1,Cluster 5,0,44.75
ibcjlljd-1,Cluster 5,0,26.07
hpljokdf-1,Cluster 5,0,70.74
oghpmjii-1,Cluster 1,0,14.20
ibcjndoe-1,Cluster 5,0,30.42
ogignojf-1,Cluster 5,0,18.12
hplmmhma-1,Cluster 3,0,34.82
ibcpjmip-1,Cluster 5,0,36.14
ibcppoll-1,Cluster 3,0,30.79
ibfkphap-1,Cluster 1,0,11.36
ibfkmlna-1,Cluster 3,0,50.09
ibfjkade-1,Cluster 3,0,21.96
ibfmfegd-1,Cluster 5,0,59.30
ibfnbjcn-1,Cluster 5,0,57.95
ibfehkak-1,Cluster 5,0,16.79
ibfeolcb-1,Cluster 3,0,33.73
ibojekim-1,Cluster 5,0,59.90
icaapooh-1,Cluster 5,0,40.54
heimcgkd-1,Cluster 3,0,37.74
ibpllokd-1,Cluster 3,0,55.95
ibpndgim-1,Cluster 3,0,42.56
icfahdkm-1,Cluster 3,0,22.84
icfajfig-1,Cluster 7,0,22.80
oghlnhjk-1,Cluster 1,0,6.49
hplajanh-1,Cluster 1,0,15.81
hpipnpdc-1,Cluster 3,0,22.92
hplekjjf-1,Cluster 1,0,25.19
ibddeebn-1,Cluster 5,0,57.08
hplheegc-1,Cluster 7,0,23.90
hplllkmo-1,Cluster 1,0,16.73
ibcpabje-1,Cluster 5,0,30.92
ibdcofdn-1,Cluster 5,0,37.13
ibddbjlm-1,Cluster 3,0,16.68
ibcnbadp-1,Cluster 5,0,22.62
ibfkpbgc-1,Cluster 3,0,19.74
ibflajof-1,Cluster 6,0,104.34
hcpcinld-1,Cluster 6,0,45.78
hebhichm-1,Cluster 5,0,46.76
hddllkgc-1,Cluster 5,0,50.51
hddgdgoh-1,Cluster 1,0,17.90
hcpbckcj-1,Cluster 3,0,48.62
hddikjbj-1,Cluster 5,0,76.52
hcpbbhfk-1,Cluster 3,0,43.87
hddgccmf-1,Cluster 7,0,42.11
hcpaimio-1,Cluster 7,0,107.61
hcopkbac-1,Cluster 3,0,13.77
hcpbconj-1,Cluster 3,0,40.12
hcpcidbc-1,Cluster 3,0,23.27
hcoiimpl-1,Cluster 3,0,40.86
hpknglhg-1,Cluster 5,0,64.14
hpkomchf-1,Cluster 5,0,36.91
hecmgjbe-1,Cluster 5,0,47.96
hecmoagg-1,Cluster 5,0,33.53
hedhgend-1,Cluster 3,0,63.80
hedfiagg-1,Cluster 7,0,30.92
hecnimce-1,Cluster 5,0,39.31
heddelic-1,Cluster 3,0,35.25
hedfgdmh-1,Cluster 3,0,61.14
hecmefme-1,Cluster 5,0,31.82
heclilnf-1,Cluster 1,0,22.92
hebfcejh-1,Cluster 5,0,9.99
hecldbej-1,Cluster 5,0,30.02
hddnadck-1,Cluster 5,0,47.04
heblbngn-1,Cluster 1,0,24.56
hebljdge-1,Cluster 3,0,46.03
hddnhdae-1,Cluster 5,0,20.73
hddemieo-1,Cluster 5,0,42.23
hcohlaop-1,Cluster 3,0,39.31
hddnloja-1,Cluster 3,0,41.39
hddgpgng-1,Cluster 7,0,21.00
hcojjpka-1,Cluster 3,0,24.20
hdddklfg-1,Cluster 7,0,26.72
ogbnlbdo-1,Cluster 5,0,105.56
hcojokij-1,Cluster 3,0,32.70
hcojodlf-1,Cluster 3,0,34.42
hddemafp-1,Cluster 7,0,70.74
hcojeedn-1,Cluster 3,0,36.03
hecpnjpd-1,Cluster 1,0,27.08
hedfobha-1,Cluster 3,0,31.24
hedebphi-1,Cluster 3,0,36.26
hedcicmc-1,Cluster 7,0,22.22
hedhjnja-1,Cluster 3,0,29.82
hecfecao-1,Cluster 3,0,32.48
hebfnhoo-1,Cluster 5,0,106.79
hedkcpbe-1,Cluster 5,0,32.11
ogcjnfpc-1,Cluster 1,0,4.32
hecfnghc-1,Cluster 5,0,66.15
hddhhhhj-1,Cluster 3,0,24.79
hebkjfgl-1,Cluster 3,0,61.32
ogigkcio-1,Unassigned,0,7.73
ibpechao-1,Cluster 3,0,124.92
heiegihc-1,Cluster 3,0,28.99
heikeabb-1,Cluster 1,0,49.02
heikljcm-1,Cluster 5,0,41.30
heildkam-1,Cluster 3,0,32.65
oginogkc-1,Cluster 1,0,113.37
ibpdkhpa-1,Cluster 3,0,35.11
ibpgbpbk-1,Cluster 3,0,60.82
ibpfmdco-1,Cluster 7,0,28.90
iehppmec-1,Cluster 3,0,44.62
iejammlb-1,Cluster 3,0,53.86
icfaffon-1,Cluster 3,0,52.61
ieilofjo-1,Cluster 3,0,44.80
ibpgmpab-1,Cluster 3,0,44.56
icfallkj-1,Cluster 1,0,47.08
ibfjcfpe-1,Cluster 5,0,64.12
ibckojnd-1,Cluster 3,0,37.17
