AUNIP	1	25831913	25859458
KIF2C	1	44739818	44767767
ZBTB48	1	6579994	6589280
EPHA8	1	22563489	22603595
THEMIS2	1	27872543	27886685
RPA2	1	27891524	27914746
ATP13A2	1	16985958	17011928
PADI2	1	17066761	17119451
CCN1	1	85580761	85584589
ERMAP	1	42817122	42844991
DISP1	1	222815022	223005995
HSD3B1	1	119507198	119515054
PHGDH	1	119648411	119744218
INSRR	1	156840063	156859117
LRRC47	1	3778559	3796498
HSPA6	1	161524540	161526894
FDPS	1	155308748	155320666
KCNK2	1	215005775	215237090
RO60	1	193059454	193091777
PACC1	1	212363928	212414901
RCOR3	1	211258377	211316385
KCNC4	1	110210314	110283100
LGALS8	1	236518000	236552981
MKNK1	1	46557407	46616843
SLC6A9	1	43991500	44031467
CD1A	1	158254424	158258269
CD1C	1	158289923	158294774
CD1B	1	158327951	158331531
CD1E	1	158353696	158357553
MAPKAPK2	1	206684905	206734281
IL24	1	206897443	206904139
FCMR	1	206903317	206923247
ZNF683	1	26361634	26374522
TINAGL1	1	31576485	31587686
PEF1	1	31629866	31644896
NVL	1	224227334	224330189
CNIH4	1	224356858	224379459
BMP8A	1	39491636	39529869
PABPC4	1	39560709	39576790
WNT3A	1	228006998	228061271
TSSK3	1	32351521	32364312
SLC16A4	1	110362851	110391082
HLX	1	220879431	220885059
INKA2	1	111680630	111755824
USF1	1	161039251	161045977
COQ8A	1	226940286	226987544
LRIF1	1	110947190	110963965
ARNT	1	150809713	150876708
PARP1	1	226360210	226408154
GPBP1L1	1	45627304	45688113
GMEB1	1	28668778	28719353
DAB1	1	56994778	58546734
EPHB2	1	22710839	22921500
KCNT2	1	196225779	196609225
CTSK	1	150794880	150809577
GBP1	1	89051882	89065360
FGR	1	27612064	27635185
IFI44L	1	78619902	78646145
AMIGO1	1	109504178	109509738
PTGS2	1	186671791	186680922
NGF	1	115285904	115338770
HES4	1	998962	1000172
SERPINC1	1	173903800	173917327
PSEN2	1	226870184	226927726
FCRLA	1	161706972	161714352
TRAF5	1	211326615	211374946
ATF6	1	161766298	161977574
MPL	1	43337818	43354466
CDC20	1	43358981	43363203
ASPM	1	197084121	197146694
AKT3	1	243488233	243851079
BCAN	1	156641390	156659532
NES	1	156668763	156677407
BRDT	1	91949343	92014426
KHDRBS1	1	32013868	32060850
KPNA6	1	32108056	32176563
DDX20	1	111754832	111775602
ECE1	1	21217247	21345572
CRYZ	1	74705482	74733408
SF3B4	1	149923317	149927803
FCGR1A	1	149782671	149791675
IGFN1	1	201190824	201228952
MTR	1	236795260	236921278
EPHX1	1	225810124	225845563
EXOSC10	1	11066618	11099869
RHD	1	25272393	25330445
FMN2	1	240014348	240475187
GREM2	1	240489573	240612155
PDPN	1	13583465	13617957
ADGRB2	1	31727117	31764893
SNAP47	1	227728200	227781826
IL20	1	206865623	206869223
TNFRSF14	1	2555639	2565382
RBM15	1	110338506	110346681
JMJD4	1	227730425	227735411
GPR37L1	1	202122886	202133592
SNX27	1	151612006	151699091
STIL	1	47250139	47314892
CNTN2	1	205042937	205078289
CDK18	1	205504596	205532793
ZSCAN20	1	33472645	33501643
GABRD	1	2019329	2030758
FAM131C	1	16057769	16073651
NRAS	1	114704469	114716771
SPTA1	1	158610704	158686715
FH	1	241497511	241519799
KMO	1	241532134	241595642
ATAD3A	1	1512162	1534685
EXO1	1	241847967	241895148
DNAH14	1	224896262	225399292
TNFSF18	1	173039202	173050941
TRIM67	1	231162058	231221565
HSPG2	1	21822244	21937310
WNT4	1	22117313	22143969
AVPR1B	1	206106936	206117699
IKBKE	1	206470476	206496889
RASSF5	1	206507531	206589448
ATXN7L2	1	109483479	109492804
CD101	1	117001750	117036552
RCC1	1	28505943	28539300
CRNN	1	152409243	152414263
MAP7D1	1	36155579	36180849
S100A3	1	153547329	153549258
S100A1	1	153627926	153632039
STK40	1	36339624	36385924
OSCP1	1	36415827	36450451
MR1	1	181033374	181061938
GORAB	1	170531819	170553834
KDM1A	1	23019443	23083689
CADM3	1	159171609	159203313
FCER1A	1	159289714	159308224
IL22RA1	1	24119771	24143140
LGR6	1	202193799	202319781
FMO3	1	171090901	171117819
ETV3	1	157121191	157138474
PBXIP1	1	154944076	154956123
SHC1	1	154962298	154974395
ROR1	1	63774017	64181498
FHAD1	1	15236521	15400283
GPN2	1	26876132	26890283
NR0B2	1	26911489	26913975
TENT5B	1	27005020	27012850
CEP85	1	26234200	26278808
LIN28A	1	26410817	26429728
PPP1R15B	1	204396492	204411887
CNR2	1	23870515	23913362
EEF1AKNMT	1	171781660	171814023
ABCA4	1	93992834	94121148
FAF1	1	50437028	50960267
NOTCH2	1	119911553	120100779
NPPA	1	11845709	11848345
