,geometry,objectType,name,color
24,"POLYGON ((19819.39 34717.03, 19521.99 34731.32, 19224.25 34746, 18926.19 34760.7, 18697.85 34771.7, 18627.71 34775.41, 18602.92 34776.74, 18617.2 35065.36, 18631.48 35354.03, 18645.75 35642.41, 18660 35930.44, 18661.31 35955.07, 18958.67 35939.71, 19256.11 35924.31, 19553.17 35908.98, 19849.84 35893.64, 19874.48 35892.65, 19860.96 35605.31, 19847.41 35317.63, 19833.87 35029.66, 19820.25 34741.35, 19819.39 34717.03))",annotation,plate4_11H,[102   0 102]
25,"POLYGON ((9620.61 25722.54, 9305.63 25731.79, 8990.23 25741.45, 8674.46 25751.08, 8433 25758.21, 8358.3 25760.76, 8332.44 25761.66, 8352.78 26066.45, 8373.54 26371.28, 8394.23 26675.74, 8414.97 26979.85, 8416.86 27006.25, 8731.82 26995.86, 9046.86 26985.45, 9361.44 26975.04, 9675.7 26964.65, 9702.16 26964.09, 9681.88 26660.75, 9661.95 26357.05, 9641.99 26053, 9622.02 25748.63, 9620.61 25722.54))",annotation,plate4_12A,[102   0 102]
26,"POLYGON ((13830.87 25595.15, 13521.07 25604.24, 13210.92 25613.75, 12900.38 25623.22, 12662.56 25630.22, 12589.46 25632.73, 12563.63 25633.63, 12581.78 25935.94, 12599.94 26238.31, 12618.05 26540.33, 12636.2 26842.01, 12637.84 26867.79, 12947.59 26857.56, 13257.42 26847.32, 13566.81 26837.1, 13875.88 26826.88, 13901.54 26826.34, 13884.2 26525.43, 13866.8 26224.17, 13849.44 25922.57, 13832.03 25620.63, 13830.87 25595.15))",annotation,plate4_5C,[102   0 102]
27,"POLYGON ((12017.26 41712.21, 11714.06 41730.76, 11410.55 41749.71, 11106.71 41768.66, 10874.36 41782.9, 10802.44 41787.66, 10777.59 41789.3, 10795.9 42075.09, 10814.57 42360.9, 10833.25 42646.4, 10851.91 42931.56, 10853.6 42955.95, 11156.74 42936.33, 11459.91 42916.7, 11762.71 42897.11, 12065.12 42877.55, 12090.65 42876.16, 12072.34 42591.7, 12054.4 42306.88, 12036.47 42021.76, 12018.48 41736.3, 12017.26 41712.21))",annotation,plate4_12D,[102   0 102]
29,"POLYGON ((11521.09 33819.78, 11212.98 33833.79, 10904.45 33848.2, 10595.61 33862.64, 10359.04 33873.42, 10286.33 33877.08, 10260.64 33878.39, 10279.92 34173.04, 10299.2 34467.73, 10318.47 34762.12, 10337.71 35056.14, 10339.45 35081.29, 10647.54 35066.16, 10955.71 35051.02, 11263.51 35036.29, 11570.9 35021.18, 11596.42 35020.22, 11577.95 34726.92, 11559.44 34433.27, 11540.96 34139.29, 11522.38 33844.99, 11521.09 33819.78))",annotation,plate4_8C,[102   0 102]
30,"POLYGON ((15186.54 49160.32, 14891.37 49182.89, 14595.87 49205.82, 14300.02 49228.8, 14073.84 49246.11, 14003.82 49251.79, 13979.59 49253.77, 13995.79 49529.71, 14012.36 49805.66, 14028.88 50081.32, 14045.42 50356.66, 14046.98 50380.55, 14342.13 50356.98, 14637.27 50333.38, 14932.11 50309.83, 15226.63 50286.29, 15251.45 50284.59, 15235.21 50009.9, 15219.38 49734.88, 15203.51 49459.55, 15187.62 49183.94, 15186.54 49160.32))",annotation,plate4_12E,[255 255   0]
31,"POLYGON ((24712.19 22566.75, 24414.22 22573.87, 24115.89 22581.34, 23817.21 22588.84, 23588.48 22594.34, 23518.2 22596.37, 23493.35 22597.08, 23504.64 22896.03, 23516.34 23194.99, 23528.03 23493.62, 23539.67 23791.91, 23540.78 23817.8, 23838.79 23809.6, 24136.76 23801.39, 24434.44 23793.15, 24731.72 23784.96, 24756.77 23784.56, 24745.81 23487, 24734.84 23189.12, 24723.85 22890.87, 24712.85 22592.34, 24712.19 22566.75))",annotation,plate4_3E,[102   0 102]
33,"POLYGON ((9782.31 49578.64, 9480.73 49601.71, 9178.82 49625.15, 8876.52 49648.61, 8645.04 49666.35, 8573.92 49672.12, 8548.79 49674.17, 8568.15 49952.84, 8587.87 50231.55, 8607.6 50509.93, 8627.31 50788.02, 8629.12 50811.78, 8930.64 50787.69, 9232.24 50763.6, 9533.42 50739.54, 9834.28 50715.5, 9859.64 50713.75, 9840.69 50436.3, 9821.66 50158.57, 9802.63 49880.51, 9783.62 49602.16, 9782.31 49578.64))",annotation,plate4_1G,[255 255   0]
34,"POLYGON ((14217.91 32327.19, 13912.33 32340.25, 13606.33 32353.71, 13300 32367.2, 13065.77 32377.25, 12993.29 32380.71, 12968.21 32381.91, 12985.51 32676.57, 13003.21 32971.26, 13020.89 33265.63, 13038.54 33559.65, 13040.15 33584.79, 13345.71 33570.62, 13651.36 33556.43, 13956.58 33542.27, 14261.48 33528.13, 14287.15 33527.21, 14269.89 33233.93, 14252.96 32940.29, 14236.01 32646.33, 14219.04 32352.03, 14217.91 32327.19))",annotation,plate4_2E,[102   0 102]
35,"POLYGON ((11933.91 40382.34, 11629.88 40400.16, 11325.56 40418.34, 11020.85 40436.55, 10787.46 40450.24, 10715.73 40454.78, 10690.42 40456.38, 10708.83 40743.66, 10727.63 41030.97, 10746.37 41317.95, 10765.13 41604.61, 10766.83 41629.12, 11070.81 41610.22, 11374.82 41591.37, 11678.48 41572.89, 11981.76 41554.05, 12007.33 41552.74, 11989.31 41266.77, 11971.27 40980.47, 11953.25 40693.88, 11935.17 40406.95, 11933.91 40382.34))",annotation,plate4_8G,[  0 255   0]
