cell_id,Tile,Clone
foahjafg-1,0_plate4_7B_,255_255_255
foahjemb-1,0_plate4_7B_,255_255_255
foahlnce-1,0_plate4_7B_,255_255_255
foahmkag-1,0_plate4_7B_,255_255_255
foaifahb-1,0_plate4_7B_,255_255_255
foailhea-1,0_plate4_7B_,255_255_255
foainnpj-1,0_plate4_7B_,255_255_255
foajcdff-1,0_plate4_7B_,255_255_255
foajcopg-1,0_plate4_7B_,255_255_255
foajfiei-1,0_plate4_7B_,255_255_255
foakacgn-1,0_plate4_7B_,255_255_255
foakbgnm-1,0_plate4_7B_,255_255_255
foakhfag-1,0_plate4_7B_,255_255_255
foakjeon-1,0_plate4_7B_,255_255_255
foakkgga-1,0_plate4_7B_,255_255_255
foaknine-1,0_plate4_7B_,255_255_255
foakohni-1,0_plate4_7B_,255_255_255
foalaocc-1,0_plate4_7B_,255_255_255
foalckdm-1,0_plate4_7B_,255_255_255
foalcohf-1,0_plate4_7B_,255_255_255
foalfekp-1,0_plate4_7B_,255_255_255
foallddj-1,0_plate4_7B_,255_255_255
foallijp-1,0_plate4_7B_,255_255_255
foalmfhp-1,0_plate4_7B_,255_255_255
foalnlei-1,0_plate4_7B_,255_255_255
foamingh-1,0_plate4_7B_,255_255_255
foamkdlf-1,0_plate4_7B_,255_255_255
foamliec-1,0_plate4_7B_,255_255_255
foamlnib-1,0_plate4_7B_,255_255_255
foammgjn-1,0_plate4_7B_,255_255_255
foamnmbk-1,0_plate4_7B_,255_255_255
foamohgc-1,0_plate4_7B_,255_255_255
foanafpf-1,0_plate4_7B_,255_255_255
foandjbi-1,0_plate4_7B_,255_255_255
foanfije-1,0_plate4_7B_,255_255_255
foanhnln-1,0_plate4_7B_,255_255_255
foaoalmn-1,0_plate4_7B_,255_255_255
foaoeold-1,0_plate4_7B_,255_255_255
foaolifg-1,0_plate4_7B_,255_255_255
foapjoif-1,0_plate4_7B_,255_255_255
foapnpga-1,0_plate4_7B_,255_255_255
fobachie-1,0_plate4_7B_,255_255_255
fobaoggg-1,0_plate4_7B_,255_255_255
fobbjjkp-1,0_plate4_7B_,255_255_255
fobbkkff-1,0_plate4_7B_,255_255_255
fobbljmn-1,0_plate4_7B_,255_255_255
fobbpega-1,0_plate4_7B_,255_255_255
fobcdiig-1,0_plate4_7B_,255_255_255
fobcfepa-1,0_plate4_7B_,255_255_255
fobckdhg-1,0_plate4_7B_,255_255_255
fobclmim-1,0_plate4_7B_,255_255_255
fobcnhlg-1,0_plate4_7B_,255_255_255
fobdkfpb-1,0_plate4_7B_,255_255_255
fobdnkin-1,0_plate4_7B_,255_255_255
fobebofg-1,0_plate4_7B_,255_255_255
fobeebdc-1,0_plate4_7B_,255_255_255
fobfgjli-1,0_plate4_7B_,255_255_255
fobfhaok-1,0_plate4_7B_,255_255_255
fobfkhoo-1,0_plate4_7B_,255_255_255
fobgahfm-1,0_plate4_7B_,255_255_255
fobgcbfh-1,0_plate4_7B_,255_255_255
fobgellb-1,0_plate4_7B_,255_255_255
fobggjip-1,0_plate4_7B_,255_255_255
fobgjckp-1,0_plate4_7B_,255_255_255
fobgkeml-1,0_plate4_7B_,255_255_255
fobglgen-1,0_plate4_7B_,255_255_255
fobglije-1,0_plate4_7B_,255_255_255
fobgmiid-1,0_plate4_7B_,255_255_255
fobgnmlj-1,0_plate4_7B_,255_255_255
fobhidhh-1,0_plate4_7B_,255_255_255
fobhlbeb-1,0_plate4_7B_,255_255_255
fobhlegk-1,0_plate4_7B_,255_255_255
fobhnhfl-1,0_plate4_7B_,255_255_255
fobhocld-1,0_plate4_7B_,255_255_255
fobibgaf-1,0_plate4_7B_,255_255_255
fobihcln-1,0_plate4_7B_,255_255_255
fobiikll-1,0_plate4_7B_,255_255_255
fobimkgn-1,0_plate4_7B_,255_255_255
fobinmjl-1,0_plate4_7B_,255_255_255
fobjbfng-1,0_plate4_7B_,255_255_255
fobjgoco-1,0_plate4_7B_,255_255_255
fobjikcj-1,0_plate4_7B_,255_255_255
