"Dendrogram Group" "Dendrogram Color" "Annotation Group" "Annotation Color"
"tumor_cell_markers_pseudoTILE_142" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_8" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_86" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_140" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_81" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_50" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_6" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_10" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_127" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_7" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_90" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_181" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_144" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_74" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_102" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_130" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_146" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_129" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_14" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_11" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_155" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_167" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_145" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_161" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_108" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_120" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_143" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_28" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_111" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_165" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_169" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_107" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_131" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_45" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_38" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_96" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_100" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_20" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_55" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_118" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_12" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_16" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_24" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_182" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_54" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_179" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_147" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_29" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_61" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_53" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_177" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_176" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_72" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_67" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_58" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_46" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_68" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_149" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_157" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_75" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_32" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_77" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_21" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_110" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_22" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_51" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_71" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_98" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_19" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_56" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_41" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_116" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_164" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_2" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_97" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_121" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_170" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_57" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_126" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_13" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_37" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_114" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_115" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_172" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_101" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_185" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
